name,url,image,latitude,longitude,accessibility
Schody,https://www.kafelanka.cz/mista/schody.php,https://www.kafelanka.cz/v/schody-1.jpg,49.1953997222,16.5932427778,přístupné
Uzávěr,https://www.kafelanka.cz/mista/uzaver.php,https://www.kafelanka.cz/v/uzaver-1.jpg,49.1933019444,16.5931919444,přístupné
Latrína,https://www.kafelanka.cz/mista/latrina.php,https://www.kafelanka.cz/v/latrina-1.jpg,49.2251377778,16.6130097222,neexistuje
Potrubí,https://www.kafelanka.cz/mista/parovod2.php,https://www.kafelanka.cz/v/parovod2-1.jpg,49.1943119444,16.5928777778,přístupné
Potrubí,https://www.kafelanka.cz/mista/parovod2.php,https://www.kafelanka.cz/v/parovod2-5.jpg,49.1944027778,16.5923697222,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/pozorovatelna2.php,https://www.kafelanka.cz/v/pozorovatelna2-1.jpg,49.207225,16.6481766667,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/pozorovatelna2.php,https://www.kafelanka.cz/v/pozorovatelna2-4.jpg,49.207135,16.6487147222,přístupné
Pozorovatelna,https://www.kafelanka.cz/mista/pozorovatelna2.php,https://www.kafelanka.cz/v/pozorovatelna2-5.jpg,49.2073766667,16.6489497222,přístupné
Šachta,https://www.kafelanka.cz/mista/sachta.php,https://www.kafelanka.cz/v/sachta-1.jpg,49.2060480556,16.6549797222,neexistuje
Vodojem,https://www.kafelanka.cz/mista/pozorovatelna4.php,https://www.kafelanka.cz/v/pozorovatelna4-1.jpg,49.2006097222,16.6502280556,přístupné
Jeskyňka,https://www.kafelanka.cz/mista/jeskyn5.php,https://www.kafelanka.cz/v/jeskyn5-1.jpg,49.1949227778,16.5925027778,přístupné
Nouzák,https://www.kafelanka.cz/mista/nouzak.php,https://www.kafelanka.cz/v/nouzak-1.jpg,49.2088333333,16.5992666667,přístupné
Stavidlo,https://www.kafelanka.cz/mista/retencka.php,https://www.kafelanka.cz/v/retencka-1.jpg,49.2453527778,16.5908472222,přístupné
Hráz,https://www.kafelanka.cz/mista/retencka.php,https://www.kafelanka.cz/v/retencka-12.jpg,49.2411166667,16.5932,přístupné
Rozhledna,https://www.kafelanka.cz/mista/rozhledna.php,https://www.kafelanka.cz/v/rozhledna-1.jpg,49.1828166667,16.5560697222,přístupné
Bazén,https://www.kafelanka.cz/mista/bazen.php,https://www.kafelanka.cz/v/bazen-1.jpg,49.1828016667,16.5576716667,přístupné
Sklípek,https://www.kafelanka.cz/mista/sklipek.php,https://www.kafelanka.cz/v/sklipek-1.jpg,49.1890030556,16.5525916667,přístupné
Garáž,https://www.kafelanka.cz/mista/garaz.php,https://www.kafelanka.cz/v/garaz-1.jpg,49.1892430556,16.5527230556,přístupné
Odpad,https://www.kafelanka.cz/mista/odpad.php,https://www.kafelanka.cz/v/odpad-1.jpg,49.1885416667,16.5584766667,přístupné
Odpad,https://www.kafelanka.cz/mista/odpad.php,https://www.kafelanka.cz/v/odpad-8.jpg,49.18793,16.5596730556,přístupné
Propustek,https://www.kafelanka.cz/mista/propustky.php,https://www.kafelanka.cz/v/propustky-4.jpg,49.2093488889,16.6512519444,přístupné
Skleník,https://www.kafelanka.cz/mista/sklenik.php,https://www.kafelanka.cz/v/sklenik-1.jpg,49.2071527778,16.65512,přístupné
Sud,https://www.kafelanka.cz/mista/sud.php,https://www.kafelanka.cz/v/sud-2.jpg,49.2408305556,16.5936416667,přístupné
